Product Number,Part number,SKU - Description,Price,Category,Category Number
10400,429801,10400-WHEEL 480 X 8 LOAD  RANGE C 4,43.86,AUTOMOTIVE,902
10401,429851,10401-WHEEL 570 X 8 LOAD  RANGE C 4,60.56,AUTOMOTIVE,902
10405,417421,10405-WHEEL 20.5/800 X 10 LOAD RANGE,96.5,AUTOMOTIVE,902
10407,606801,"10407-WHEEL ST 175/80D 13""LOAD RANGE",99.47,AUTOMOTIVE,902
10412,6H01381,10412-TIRE  530 X 12 LOAD RANGE C,46.47,AUTOMOTIVE,902
10431,320450,10431-TUBE  570/500 X 8,7.01,AUTOMOTIVE,902
10432,320950,10432-TUBE  530 X 12,7.21,AUTOMOTIVE,902
10441,EM1000-5,"10441-HUB  5 BOLT ASSEMBLYW/1 1/2""X9",58,AUTOMOTIVE,902
10442,D1000,10442-DUST CAP,1.1,AUTOMOTIVE,902
10444,1000CCSKIT,10444-BEARING KIT W/CUPS CONES SEALS,14.54,AUTOMOTIVE,902
11496,1905,11496-FUNNEL 2 PIECE POLY    W/100 M,2.63,AUTOMOTIVE,902
11497,721,11497-PLUG AUTO ACCESSORY,4.03,AUTOMOTIVE,902
11500,10019,11500-SLIME 473ML 16OZ AUTO,9.44,AUTOMOTIVE,902
11501,10017,11501-SLIME 2n1 TIRE/TUBE SLNT 946ML,14.29,AUTOMOTIVE,902
11501,10194-2,11501-SLIME 2n1 TIRE/TUBE SLNT 946ML,14.29,AUTOMOTIVE,902
11502,10020,11502-SLIME 946ML 32OZ VALUE SIZE,14.56,AUTOMOTIVE,902
11520,24037,11520-GAUGE PENCIL TYPE (5-50PSI),2.24,AUTOMOTIVE,902
11533,24007,11533-VALVE CAP (4/CD)    HEX HEAD B,1.04,AUTOMOTIVE,902
11534,24038,11534-VALVE CAP DOME TYPE PLASTIC (5,1.44,AUTOMOTIVE,902
11544,24031,11544-GAUGE PASSENGER TIRE0-60PSI DI,7.77,AUTOMOTIVE,902
11546,2020-A,11546-GAUGE SERVICE       (10-160PSI,8.91,AUTOMOTIVE,902
11600,0093500,11600-JACK TRAILER 12V 3500LBS,223.19,FARM,908
11601,64.002.000,11601-TUBE MOUNT WELD-ON F/2000LB,2.48,FARM,908
11602,64.003.000,11602-TUBE MOUNT WELD-0N F/5000LB,2.86,FARM,908
11606,BE-050,"11606-JACK IMP TUBE 10"" 5000LB SIDEW",104.99,FARM,908
11607,BE-550,"11607-JACK IMP TUBE 15"" 5000LB SIDEW",107.99,FARM,908
11611,TJ-07-51L,"11611-JACK TRLR SWIV 15"" 1000LB WHL",49.91,FARM,908
11614,BE-720,"11614-JACK IMP SQR 26"" 7000LB TOP W",64.08,FARM,908
11615,BE-700,"11615-JACK IMP SQR 26"" 7000LB SIDE W",172.99,FARM,908
11669,11-111,"11669-LUG WRENCH SAE 14""",7.99,AUTOMOTIVE,902
11700,T43002,11700-JACK STANDS BIG RED 3T,20.21,AUTOMOTIVE,902
11700,T43002A,11700-JACK STANDS BIG RED 3T,31.25,AUTOMOTIVE,902
11701,T46002A,11701-JACK STANDS 6T PAIR DBLE LOCK,57.03,AUTOMOTIVE,902
11702,T90403,11702-JACK BOTTLE BIG RED WELD4T,15.31,AUTOMOTIVE,902
11702,T90403B,11702-JACK BOTTLE BIG RED WELD4T,19,AUTOMOTIVE,902
11703,T90803,11703-JACK BOTTLE BIG RED WELD8T,23.3,AUTOMOTIVE,902
11703,T90803B,11703-JACK BOTTLE BIG RED WELD8T,23.3,AUTOMOTIVE,902
11704,T91203B,11704-JACK BOTTLE BIG RED WELD12T,39.16,AUTOMOTIVE,902
11705,T92003,11705-JACK BOTTLE BIG RED WELD20T,41.99,AUTOMOTIVE,902
11705,T92003B,11705-JACK BOTTLE BIG RED WELD20T,54.67,AUTOMOTIVE,902
11707,TA92006,11707-JACK BOTTLE AIR HYDR 20 TON,234.99,AUTOMOTIVE,902
11708,10003574,11708-JACK TROLLEY BIG RED 2T,33.11,AUTOMOTIVE,902
11708,T820012,11708-JACK TROLLEY BIG RED 2T,33.34,AUTOMOTIVE,902
11708,T82002,11708-JACK TROLLEY BIG RED 2T,42.02,AUTOMOTIVE,902
11709,T82751,11709-JACK FLOOR 2.75 TON,119.05,AUTOMOTIVE,902
11710,T83012,11710-JACK GARAGE BIG RED 3.5T,169.01,AUTOMOTIVE,902
11712,T82001,11712-JACK TROLLEY BIG RED COMBO2T,69.28,AUTOMOTIVE,902
11716,T10102,11716-JACK SCISSOR BIG RED 1T,17.22,AUTOMOTIVE,902
11716,T10152,11716-JACK SCISSOR BIG RED 1T,11.98,AUTOMOTIVE,902
11717,TR6501,11717-JACK FARM BIG RED 48IN,60.67,AUTOMOTIVE,902
11717,TR6501B,11717-JACK FARM BIG RED 48IN,79.17,AUTOMOTIVE,902
11718,T24541,11718-ENGINE STAND 1000LB,67.88,AUTOMOTIVE,902
11722,TC302,11722-CART TOOL 3 TRAYS SWIVL CASTRS,93.39,AUTOMOTIVE,902
11724,TR6502B,"11724-JACK FARM 60""-6000lbs",85.31,AUTOMOTIVE,902
11725,TR6300,11725-CREEPER SEAT BIG RED STEEL,31.21,AUTOMOTIVE,902
11726,TR6350,11726-CREEPER SEAT BIGRD PNEUMAT DLX,50.38,AUTOMOTIVE,902
11727,TR6500,11727-CREEPER BIG RED 6-WHEEL SHOP,32.59,AUTOMOTIVE,902
11734,TRP6240,11734-CREEPER BIGRED PLAST 6WHEL40IN,46.9,AUTOMOTIVE,902
11738,T92003K,11738-JACK BOTTLE 20 TON QUICKLIFT,42.73,AUTOMOTIVE,902
11753,T34750,11753-DOLLY CAR BIG RED,99.37,AUTOMOTIVE,902
11754,T90203B,11754-JACK BOTTLE BIG RED WELD2T,17.92,AUTOMOTIVE,902
11761,1460,11761-CLEANER BATTERY POST AND CABLE,2.6,AUTOMOTIVE,902
11763,TR6455,"11763-CREEPER MOSSY OAK 40""",37.74,AUTOMOTIVE,902
11788,13-127,11788-PATCH TIRE MEDIUM 6IN X 6IN,4.15,AUTOMOTIVE,902
11810,TR9010,11810-HOIST CHAIN 1 TON,79.14,AUTOMOTIVE,902
11820,T815016L,11820-JACK STEEL ALUM 1.5T,143.75,AUTOMOTIVE,902
11823,T42002,11823-JACK STAND BIG RED2T,28.68,AUTOMOTIVE,902
11911,637-100,11911-TESTER F/12 AND 24 VOLT CI,4.73,AUTOMOTIVE,902
11914,3040E,11914-OBD CAR READER,76.16,AUTOMOTIVE,902
11914,3040RS,11914-OBD CAR READER,76.16,AUTOMOTIVE,902
11915,3320,11915-MULTI-METER DIGITAL RANGING,26.5,ELECTRICAL,906
11916,3420,11916-TESTER CIRCUIT SMART,16.82,ELECTRICAL,906
11917,75002,11917-MULTIMETER DIGITAL,7.16,ELECTRICAL,906
11918,75003,11918-MULTIMETER ANALOGUE,5.84,ELECTRICAL,906
11919,75001,11919-MULTIMETER DIGITAL CLAMP-ON,17.88,ELECTRICAL,906
11924,TA820014,11924-JACK TROLLEY  2T,33.81,AUTOMOTIVE,902
11925,T830025,11925-JACK 3T SUPER DUTY,108.87,AUTOMOTIVE,902
11926,10003569,11926-JACK SUPER DUTY YLWJKT   3T,294.55,AUTOMOTIVE,902
11926,T830008,11926-JACK SUPER DUTY YLWJKT   3T,333.52,AUTOMOTIVE,902
11956,637-200,11956-TEST LIGHT 6-12 VOLT,10.31,AUTOMOTIVE,902
11962,1922,"11962-WRENCH OIL FILTER   12"" SLIP-J",4.25,AUTOMOTIVE,902
12139,521-758,12139-FUSE SET 17PC CAR   EMERGENCY,6.95,AUTOMOTIVE,902
12143,BP/ATC-AH8-RPP,12143-FUSE ASST PLUG-IN GM,7.42,AUTOMOTIVE,902
12144,BP/HMJ-RP,12144-FUSE HOLDER W/SFE-20,2.67,AUTOMOTIVE,902
12153,BP/SFE-AL6-RP,12153-FUSES AUTO CP/SFE9,2.81,AUTOMOTIVE,902
12154,BP/SFE-14-RP,12154-FUSES AUTO CP/SFE14,1.03,AUTOMOTIVE,902
12156,BP/SFE-30-RP,12156-FUSES AUTO CP/SFE30,1.72,AUTOMOTIVE,902
12160,BP/AGC-1-RP,12160-FUSES AUTO CP/AGC1,1.26,AUTOMOTIVE,902
12162,BP/AGC-2-1/2-RP,12162-FUSES AUTO BP/AGC2.5,1.48,AUTOMOTIVE,902
12164,BP/AGC-5-RP,12164-FUSES AUTO CP/AGC5,2.54,AUTOMOTIVE,902
12170,BP/AGC-35-RP,12170-FUSES AUTO BP/AGC35,2.03,AUTOMOTIVE,902
12300,41-4P-TSC,"12300-FLARE NUT 1/4"" SAE  LONG SERIE",0.67,AUTOMOTIVE,902
12302,41-6P-TSC,"12302-FLARE NUT 3/8"" SAE  LONG SERIE",1.06,AUTOMOTIVE,902
12303,48-4AP-TSC,"12303-CONNECTOR MALE 1/4"" TUBE TO 1/",0.62,AUTOMOTIVE,902
12304,48-4BP-TSC,"12304-CONNECTOR MALE 1/4"" TUBE TO 1/",0.71,AUTOMOTIVE,902
12305,48-5AP-TSC,"12305-CONNECTOR MALE 5/16"" TUBE TO 1",0.78,AUTOMOTIVE,902
12306,48-6BP-TSC,"12306-CONNECTOR MALE 3/8"" TUBE TO 1/",0.97,AUTOMOTIVE,902
12307,48-6CP-TSC,"12307-CONNECTOR MALE 3/8"" TUBE TO 3/",1.09,AUTOMOTIVE,902
12315,60-6P10-TSC,"12315-SLEEVE 10/BAG 3/8""  BRASS COMP",1.04,AUTOMOTIVE,902
12321,62-3P-TSC,"12321-UNION COMPRESSION   3/16"" TUBE",1.02,AUTOMOTIVE,902
12322,62-4P-TSC,"12322-UNION COMPRESSION   1/4"" TUBE",1.23,AUTOMOTIVE,902
12324,62-6P-TSC,"12324-UNION COMPRESSION   3/8"" TUBE",1.55,AUTOMOTIVE,902
12325,64-4P-TSC,"12325-TUBE TEE 1/4""       COMPRESSIO",2.18,AUTOMOTIVE,902
12326,68-2AP-TSC,"12326-CONNECTOR  COMPRESS-ION 1/8"" T",0.72,AUTOMOTIVE,902
12327,68-3AP-TSC,12327-CONNECTOR  COMPRESS-ION 3/16 T,0.74,AUTOMOTIVE,902
12328,68-4AP-TSC,"12328-CONNECTOR  COMPRESS-ION 1/4"" T",0.79,AUTOMOTIVE,902
12330,68-6BP-TSC,"12330-CONNECTOR  COMPRESS-ION 3/8"" T",1.14,AUTOMOTIVE,902
12331,69-4AP-TSC,"12331-ELBOW MALE COMPRESS-ION 1/4"" T",1.67,AUTOMOTIVE,902
12346,109-AP-TSC,"12346-PLUG PIPE 1/8""      SQUARE HEA",0.5,AUTOMOTIVE,902
12347,109-BP-TSC,"12347-PLUG PIPE 1/4""      SQUARE HEA",0.73,AUTOMOTIVE,902
12349,121-AP-TSC,"12349-PLUG PIPE 1/8"" HEX  HEAD",0.57,AUTOMOTIVE,902
12350,121-BP-TSC,"12350-PLUG PIPE 1/4"" HEX  HEAD",0.7,AUTOMOTIVE,902
12352,110-BAP-TSC,"12352-BUSHING 1/4""X1/8""   PIPE",0.61,AUTOMOTIVE,902
12353,110-CAP-TSC,"12353-BUSHING 3/8""X1/8""   PIPE",0.95,AUTOMOTIVE,902
12354,110-CBP-TSC,"12354-BUSHING 3/8""X1/4""   PIPE",0.84,AUTOMOTIVE,902
12355,110-DBP-TSC,"12355-BUSHING 1/2""X1/4""   PIPE",1.27,AUTOMOTIVE,902
12356,110-DCP-TSC,"12356-BUSHING 1/2""X3/8""   PIPE",1.23,AUTOMOTIVE,902
12359,122-AP-TSC,"12359-NIPPLE HEX 1/8""BRASSOQ",0.56,AUTOMOTIVE,902
12360,122-BP-TSC,"12360-NIPPLE HEX 1/4""BRASS",0.77,AUTOMOTIVE,902
12361,112-AP-TSC,"12361-NIPPLE 1/8"" CLOSE   BRASS",0.51,AUTOMOTIVE,902
12362,112-BP-TSC,"12362-NIPPLE 1/4"" CLOSE   BRASS",0.57,AUTOMOTIVE,902
12365,X115-AP-TSC,12365-ELBOW FEMALE PIPE   EXTRUDED 1,1.02,AUTOMOTIVE,902
12366,X115-BP-TSC,12366-ELBOW FEMALE PIPE   EXTRUDED 1,1.64,AUTOMOTIVE,902
12367,X101-AP-TSC,"12367-TEE PIPE FEMALE 1/8""BRASS",1.43,AUTOMOTIVE,902
12369,240-BP-TSC,"12369-DRAIN COCK BRASS    1/4"" PIPE",1.43,AUTOMOTIVE,902
12400,660-000,12400-SWITCH TOGGLE,6.14,AUTOMOTIVE,902
12401,660-006,12401-SWITCH TOGGLE,6.12,AUTOMOTIVE,902
12402,660-008,12402-SWITCH TOGGLE,6.01,AUTOMOTIVE,902
12403,660-010,12403-SWITCH TOGGLE,6.04,AUTOMOTIVE,902
12404,660-024,12404-SWITCH TOGGLE,6,AUTOMOTIVE,902
12405,660-030,12405-SWITCH TOGGLE,6.74,AUTOMOTIVE,902
12407,660-100,12407-SWITCH PUSH BUTTON,10.15,AUTOMOTIVE,902
12408,660-125,12408-SWITCH PUSH/PULL W/ PLASTIC KN,7,AUTOMOTIVE,902
12409,660-127,12409-SWITCH PUSH/PULL W/ CHROME KNO,7.62,AUTOMOTIVE,902
12411,660-170,12411-SWITCH IGNITION,20.16,AUTOMOTIVE,902
12412,660-190,12412-SWITCH MASTER DISCONECT,45.62,AUTOMOTIVE,902
12416,660-204,12416-SOLENOID STARTER 12V,27.65,FARM,908
13014,M1115C,13014-TIRE REPAIR SEAL 510G NON-OZON,11.91,AUTOMOTIVE,902
13038,11014,13038-LUBRICANT MOOVIT LLOYDS 350g,8.89,AUTOMOTIVE,902
13039,21014,13039-INHIBITOR AD2000 LLOYDS 350g,8.13,AUTOMOTIVE,902
13040,21514,13040-FILMBARRIER AD3000 LLOYDS 350g,11.99,AUTOMOTIVE,902
13078,22CA,"13078-WIPER BLADE 22"" BEAM",4.86,AUTOMOTIVE,902
13083,40516,"13083-WIPER BLADE 16"" ALL SEASON",2,AUTOMOTIVE,902
13086,40519,"13086-WIPER BLADE 19"" ALL SEASON",2.13,AUTOMOTIVE,902
13102,99816,"13102-WIPER BLADE LATITUDE 16""",14.42,AUTOMOTIVE,902
13103,99817,"13103-WIPER BLADE LATITUDE 17""",14.42,AUTOMOTIVE,902
13104,99818,"13104-WIPER BLADE LATITUDE 18""",14.42,AUTOMOTIVE,902
13105,99819,"13105-WIPER BLADE LATITUDE 19""",14.42,AUTOMOTIVE,902
13106,99820,"13106-WIPER BLADE LATITUDE 20""",14.42,AUTOMOTIVE,902
13107,99821,"13107-WIPER BLADE LATITUDE 21""",15.11,AUTOMOTIVE,902
13108,99822,"13108-WIPER BLADE LATITUDE 22""",14.42,AUTOMOTIVE,902
13109,99824,"13109-WIPER BLADE LATITUDE 24""",14.69,AUTOMOTIVE,902
13110,99828,"13110-WIPER BLADE LATITUDE 28""",14.42,AUTOMOTIVE,902
